,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate,Biomass concentration (dry weight),Time of processing,BatchID,Data set,Type
5#137,2.03E-01,0.000742463,-0.01964893,0.05606556,8.335372,0.5432244,0.07644496,10.26222,5.460522,5.508202,24.44587,5,Calibration,NOC
5#138,0.1335311,7.40E-05,0.02521003,0.06179774,7.580112,0.5535553,0.08274517,11.45108,6.930362,5.828198,25.14587,5,Calibration,NOC
5#139,2.23E-01,0.00017156,0.02136291,0.06745836,6.775064,0.5680755,0.08690385,12.35155,7.15118,6.126628,25.84587,5,Calibration,NOC
5#140,0.8308876,7.21E-05,0.0160296,0.07029318,5.549968,0.5789995,0.0899409,12.93984,7.658834,6.486188,26.54587,5,Calibration,NOC
5#141,0.03037766,-0.000141192,0.03780091,0.07203802,5.106217,0.5793732,0.0912588,13.07547,7.793886,6.659621,26.75587,5,Calibration,NOC
5#142,-0.007798216,-0.000396292,0.007502088,0.07417951,4.806898,0.58706,0.09066948,13.37448,7.882275,6.678185,26.96587,5,Calibration,NOC
5#143,0.1541629,0.000225654,-0.004417522,0.07418553,4.341678,0.5909237,0.09095534,13.50379,7.52594,6.929794,27.17587,5,Calibration,NOC
5#144,0.1022307,-0.000856551,0.01352695,0.06939581,4.301967,0.6024148,0.09275962,13.42368,8.236958,7.038762,27.38587,5,Calibration,NOC
5#145,0.707184,0.000106643,0.05542682,0.07363746,3.793297,0.6061561,0.09195086,13.52375,8.506947,7.191329,27.59587,5,Calibration,NOC
5#146,0.5047101,0.000626722,-0.03034845,0.07229245,3.396273,0.6159829,0.09117075,13.58002,8.056604,7.364179,27.75694,5,Calibration,NOC
5#147,-0.4972424,-0.000199826,-0.000952135,0.07096828,3.252784,0.6139947,0.09115522,13.52694,7.884241,7.441956,27.91802,5,Calibration,NOC
5#148,-0.3541267,-0.000270184,-0.0554123,0.07179049,2.688754,0.6177121,0.09108217,13.51882,7.274235,7.421838,28.07909,5,Calibration,NOC
5#149,0.1404884,-0.000170285,0.04076614,0.06800508,2.415887,0.6238035,0.09045033,13.53395,8.052423,7.555268,28.24016,5,Calibration,NOC
5#150,-0.04844564,0.000281709,0.03863293,0.06359098,2.198212,0.6269741,0.09034059,13.37479,7.64237,7.655797,28.40123,5,Calibration,NOC
5#151,0.3408749,0.000360598,0.01386949,0.06475849,1.926825,0.6296663,0.09069119,13.15122,7.058498,7.753127,28.52019,5,Calibration,NOC
5#152,-0.7963753,-0.000758083,-0.02221834,0.06183803,1.417896,0.6332215,0.08947625,12.85642,7.164338,7.857327,28.63915,5,Calibration,NOC
5#153,-8.11E-01,-0.000421655,0.01963555,0.05854349,1.448115,0.6356852,0.08862334,12.58849,7.67088,7.9977,28.75811,5,Calibration,NOC
5#154,-0.3189723,-5.99E-05,-0.02696973,0.05703903,1.30616,0.6421639,0.08801729,12.44086,7.272371,8.007576,28.79379,5,Calibration,NOC
5#155,-0.3941886,0.000375036,-0.01379682,0.05859221,1.27608,0.6401692,0.08844806,12.43278,7.390581,8.021119,28.82948,5,Calibration,NOC
5#156,-0.2509716,0.000221305,0.01602374,0.05550987,1.34284,0.6428782,0.08819564,12.26046,6.877096,7.983602,28.86517,5,Calibration,NOC
5#157,0.3391342,-0.000274453,0.04220714,0.05174674,1.047,0.6356576,0.08762386,12.16202,6.913096,8.058442,28.90086,5,Calibration,NOC
5#158,-0.2547729,-0.000295241,-0.01539969,0.05421209,0.9883488,0.6373135,0.08803264,12.18395,6.873711,7.99042,28.93655,5,Calibration,NOC
5#159,0.4944282,0.000911698,0.02248762,0.0476406,0.8583599,0.6453773,0.08727656,11.02252,6.943026,8.220526,29.0637,5,Calibration,NOC
5#160,-0.1287741,-0.000378707,-0.01748871,0.03935247,0.6354002,0.6488826,0.08608464,9.766933,5.576234,8.204062,29.19085,5,Calibration,NOC
5#161,-0.06684953,-0.000914934,0.01905004,0.03129448,0.3569493,0.645829,0.08598169,8.192067,5.281079,8.302978,29.318,5,Calibration,NOC
5#162,-0.4649335,-0.000289447,0.02454071,0.02729497,0.3533044,0.6446459,0.08594537,7.802341,4.666322,8.299192,29.35615,5,Calibration,NOC
5#163,1.61E-02,0.000137048,0.006284237,0.0279006,0.2064987,0.6496541,0.08490338,7.45599,4.323283,8.325024,29.36759,5,Calibration,NOC
5#164,0.3648629,-8.09E-05,-0.01648219,0.02564208,0.3091494,0.648954,0.08616149,7.390669,4.191176,8.339385,29.37904,5,Calibration,NOC
5#165,-4.20E-01,-0.00118185,0.004169411,0.02731861,0.3620163,0.6490071,0.08490779,6.92289,4.272341,8.401218,29.39048,5,Calibration,NOC
5#166,0.06226254,-8.63E-05,-0.005146541,0.02582923,0.4972764,0.6468713,0.08470233,6.949176,4.224866,8.211772,29.40192,5,Calibration,NOC
5#167,-0.3858181,0.000187674,0.0167399,0.02049267,0.02479077,0.6493412,0.08466287,6.243545,2.805416,8.426555,29.45727,5,Calibration,NOC
5#168,1.03E-01,0.00053338,-0.02435834,0.01700633,0.3660657,0.6551515,0.08553949,5.486208,3.732297,8.384692,29.51262,5,Calibration,NOC
5#169,-7.26E-01,4.96E-05,0.02818455,0.01628784,0.212323,0.6532746,0.08434109,4.508148,3.018768,8.477002,29.56797,5,Calibration,NOC
5#170,4.10E-01,-6.00E-05,0.0323027,0.01385945,0.000587994,0.6462713,0.08460792,4.179391,2.003185,8.277908,29.59241,5,Calibration,NOC
5#171,0.3388387,-7.17E-05,-0.02682692,0.009674855,0.137912,0.6542031,0.08474905,3.634649,2.337699,8.29789,29.61684,5,Calibration,NOC
5#172,-0.3170656,-0.000605491,-0.0268547,0.01023678,0.1046081,0.6543211,0.08469619,3.571215,1.328424,8.38027,29.64128,5,Calibration,NOC
5#173,-2.64E-01,-0.000608325,0.01936803,0.009565008,0.1742158,0.6453238,0.08512814,3.207067,1.135071,8.355553,29.66572,5,Calibration,NOC
5#174,0.8661438,-3.25E-05,-0.02572886,0.007974025,-0.1794716,0.6511607,0.08422674,2.776559,1.387686,8.345241,29.70566,5,Calibration,NOC
5#175,-0.3546651,-0.000350455,0.009779137,0.006173341,0.009929133,0.6522981,0.08374549,2.013362,1.016845,8.411458,29.7456,5,Calibration,NOC
5#176,0.1313031,-0.000396661,-0.03845407,0.004710195,0.1419475,0.6539279,0.08417589,1.933674,1.26711,8.487792,29.78554,5,Calibration,NOC
5#177,-0.01538884,0.000335998,0.03882554,0.00722738,-0.05253844,0.6525643,0.08452891,1.630499,1.209152,8.339778,29.82548,5,Calibration,NOC
5#178,0.08205766,0.000190867,0.01357272,0.003154731,0.008073573,0.6479854,0.08455899,1.006631,-0.00595756,8.451866,29.92251,5,Calibration,NOC
5#179,0.1381381,-0.000758401,3.96E-02,0.002090689,0.2902466,0.6474013,0.08316789,0.4400373,0.004940261,8.516703,30.01954,5,Calibration,NOC
5#180,0.3548694,-0.000194664,0.02115745,-1.13E-05,0.06005994,0.6478065,0.08386154,0.3300947,-0.5349809,8.446129,30.11657,5,Calibration,NOC
5#181,-0.4000657,0.000260083,-0.01782539,-0.002276921,-0.1052588,0.6460266,0.08328007,0.1831002,0.4121085,8.434865,30.2136,5,Calibration,NOC
5#182,0.3824134,0.000952743,-0.02064151,0.000699808,-0.1897196,0.6481031,0.08293194,-0.0158194,-0.1355962,8.474332,30.37397,5,Calibration,NOC
5#183,-0.1139519,0.000654201,0.03337991,-0.000136118,-0.01825346,0.6545879,0.08251983,-0.02723803,0.1587133,8.369372,30.53433,5,Calibration,NOC
5#184,0.431269,-0.000463339,-0.005224046,-0.001394067,-0.001187951,0.6507488,0.08298963,0.2124006,0.807964,8.431793,30.69469,5,Calibration,NOC
5#185,0.3108663,-0.000453228,-0.0330759,0.000577503,0.1544097,0.6494042,0.0827783,0.1430516,-0.6971348,8.478712,30.85505,5,Calibration,NOC
5#186,0.4400089,-0.000120681,-4.68E-02,-0.001743089,-0.07074721,0.6533909,0.08214898,0.1397533,0.3089789,8.637431,31.01541,5,Calibration,NOC
5#187,0.2005216,-0.000835698,0.01724972,-4.86E-05,-0.2311705,0.6520796,0.08173338,-0.01630619,0.4532551,8.503449,31.6224,5,Calibration,NOC
5#188,0.2549379,0.00010372,-2.53E-02,-0.001241648,-0.1250606,0.6483804,0.07960617,0.09825072,0.2875315,8.32977,32.22939,5,Calibration,NOC
5#189,-0.01726507,0.000521039,-0.001568975,-8.39E-05,-0.03080724,0.6514268,0.07871057,0.2379773,0.4108324,8.463324,32.83637,5,Calibration,NOC
5#190,-0.6394761,0.000418601,0.03096554,-0.00340014,0.00022797,0.6558194,0.07747746,0.03759417,-0.08243622,8.419224,33.44336,5,Calibration,NOC
5#191,0.02865406,-0.000727518,0.01589207,0.002482418,0.03579296,0.6458728,0.07689238,0.07174104,-0.2687719,8.270185,34.14336,5,Calibration,NOC
5#192,0.1704178,0.000100286,-0.006372641,-0.000969987,0.005041746,0.6534234,0.07596142,-0.2035876,0.02452227,8.493563,34.84336,5,Calibration,NOC
5#193,0.03507877,-0.000190006,0.04485166,0.000218668,-0.1692974,0.6510081,0.07651532,-0.1289811,-0.8044575,8.359663,35,5,Calibration,NOC
6#17,29.67704,0.008155954,-0.03352034,0.001542608,0.126271,0.3869549,0.005080633,6.537275,3.465873,-0.06779853,4.943622,6,Calibration,NOC
6#18,30.03973,0.008692963,0.02631327,0.000187923,-0.286909,0.4114549,0.00522197,7.090027,4.420166,0.01545571,5.371362,6,Calibration,NOC
6#19,30.51838,0.01119448,-0.01610548,0.00157262,-0.01474889,0.4307014,0.004323977,7.317169,4.843476,0.07761019,5.708961,6,Calibration,NOC
6#20,29.62906,0.01259953,-0.000670719,-0.000611333,-0.03713996,0.4437572,0.005066795,7.397368,5.010065,0.07505751,6.046561,6,Calibration,NOC
6#21,29.83118,0.01409589,0.005528163,-0.000321265,0.04762087,0.4569547,0.004643889,7.524093,6.471253,0.1039787,6.384161,6,Calibration,NOC
6#22,29.63261,0.01657895,-0.01689797,0.000203535,-0.08982543,0.467847,0.005492146,7.813306,8.228117,0.1297346,6.72176,6,Calibration,NOC
6#23,30.89528,0.01817023,-0.01052153,0.001872062,-0.05062674,0.4762486,0.005036774,7.728362,9.172337,0.09043507,6.983879,6,Calibration,NOC
6#24,30.07802,0.01922754,0.004045023,-0.001732709,-0.1301632,0.4868107,0.004460728,7.769316,10.67383,0.07692258,7.245997,6,Calibration,NOC
6#25,29.78464,0.02045961,-0.01129204,-0.001454543,-0.01672275,0.489508,0.00484932,7.484835,11.80164,0.04926378,7.508116,6,Calibration,NOC
6#26,30.67211,0.02149761,-0.02663257,0.003885977,-0.05858556,0.4965357,0.004846398,7.230959,13.09241,-0.02103888,7.770235,6,Calibration,NOC
6#27,29.99164,0.02219659,0.03431583,0.000681607,-0.05014697,0.5030637,0.004676079,7.045145,13.44042,-0.0563506,8.032353,6,Calibration,NOC
6#28,30.31778,0.02221639,0.005205446,-0.000629595,0.2870009,0.5114874,0.004142997,6.508402,14.51689,-0.03353446,8.294473,6,Calibration,NOC
6#29,29.49977,0.02430616,3.36E-03,-0.00011329,-0.0782118,0.5196405,0.00452282,6.460048,15.7103,-0.09845503,8.612959,6,Calibration,NOC
6#30,29.44904,0.02340635,-0.03247231,-9.34E-05,-0.09503124,0.5103377,0.004558504,6.262027,16.14463,0.08885986,8.931445,6,Calibration,NOC
6#31,29.78789,0.02403406,0.001938447,0.001892624,-0.06036184,0.5214012,0.004845624,5.929515,17.06356,0.05576305,9.249932,6,Calibration,NOC
6#32,30.0694,0.02413419,0.05750782,-0.000840818,0.1241994,0.5269707,0.004505255,6.026884,18.02273,-0.02018723,9.568419,6,Calibration,NOC
6#33,29.23758,0.02477101,0.02926533,0.002071467,-0.0903234,0.5304109,0.004543445,5.557752,18.02451,-0.001720527,9.886906,6,Calibration,NOC
6#34,29.36354,0.02464906,0.02776392,0.003077685,-0.001102636,0.5314024,0.00513877,5.338516,19.64563,0.07304338,10.20539,6,Calibration,NOC
6#35,30.32759,0.02497598,0.01277583,0.001315036,0.08938608,0.5363182,0.004849967,5.152746,19.17279,0.1055922,10.73509,6,Calibration,NOC
6#36,29.87395,0.02509052,-0.002826435,0.004442432,0.01773327,0.5354769,0.004193826,5.275533,20.71265,0.1501785,11.26479,6,Calibration,NOC
6#37,29.63683,0.02700231,0.04994152,0.005505222,0.02052265,0.5381585,0.003892866,4.995871,21.52201,0.08975617,11.79449,6,Calibration,NOC
6#38,29.01067,0.02653099,0.01450338,0.004362902,0.1763248,0.5405648,0.004841809,5.246643,22.75099,0.1024679,12.32419,6,Calibration,NOC
6#39,28.76067,0.02755066,0.02222092,0.005044708,0.298836,0.5399441,0.005458217,5.234928,22.50453,0.1482239,12.85389,6,Calibration,NOC
6#40,29.19586,0.02787518,0.1005065,0.008970498,0.2314406,0.5424529,0.003422507,5.379193,25.01748,0.05857993,13.38359,6,Calibration,NOC
6#41,28.67526,0.02899241,0.09598135,0.007723342,0.5108393,0.5401475,0.003926158,5.539334,25.87412,0.2046832,13.91329,6,Calibration,NOC
6#42,28.20783,0.03097515,0.1069669,0.01213021,0.5673341,0.5445188,0.004871107,5.829274,27.72952,0.4539155,14.5626,6,Calibration,NOC
6#43,27.19839,0.03140251,0.1265931,0.01598816,0.9669729,0.5419946,0.004455502,5.985609,29.37007,0.5762426,15.21191,6,Calibration,NOC
6#44,25.63132,0.03395535,0.1962519,0.02235967,1.112277,0.54404,0.004924355,6.653043,30.90831,0.7851987,15.86122,6,Calibration,NOC
6#45,23.83772,0.03621803,0.3376286,0.02719009,1.871698,0.5467533,0.003912558,6.766924,32.76585,1.062716,16.51053,6,Calibration,NOC
6#46,20.99282,0.03661294,0.4851248,0.0388156,2.710255,0.5486209,0.004902947,7.167212,33.07283,1.512673,17.15983,6,Calibration,NOC
6#47,17.2329,0.03709694,0.7233409,0.04881932,3.959854,0.546113,0.004673126,7.464685,34.09612,1.97476,17.80914,6,Calibration,NOC
6#48,13.05265,0.03864044,1.023789,0.06433524,5.555363,0.5453338,0.004363365,8.008368,34.88924,2.583837,18.36753,6,Calibration,NOC
6#49,7.667905,0.03759895,1.309726,0.08106516,7.40329,0.5439888,0.004656706,9.266643,36.57352,3.387312,18.92591,6,Calibration,NOC
6#50,5.943856,0.03665517,1.445355,0.08637244,8.026075,0.5456211,0.004415992,9.475819,35.88143,3.675197,19.09343,6,Calibration,NOC
6#51,3.189959,0.03435758,1.519729,0.09389833,8.711272,0.5490144,0.004523751,10.11888,36.14305,3.984033,19.26094,6,Calibration,NOC
6#52,2.668822,0.03516612,1.57138,0.09612423,9.297694,0.547639,0.004102016,10.54015,36.53794,4.076675,19.3112,6,Calibration,NOC
6#53,1.707667,0.03395574,1.583694,0.1001007,8.946728,0.5437449,0.003573259,10.25007,35.81458,4.327514,19.36145,6,Calibration,NOC
6#54,1.256145,0.0331264,1.535594,0.1007756,9.452675,0.5489752,0.003598398,10.66256,34.75457,4.274868,19.41171,6,Calibration,NOC
6#55,0.6452195,0.030464,1.596878,0.1041941,9.89448,0.5475337,0.004439537,9.974438,33.51141,4.285021,19.46196,6,Calibration,NOC
6#56,0.06373952,0.02976675,1.591662,0.102693,9.921913,0.5455529,0.004777987,9.825549,32.55206,4.543442,19.47704,6,Calibration,NOC
6#57,0.9950072,0.02837443,1.50094,0.1050537,9.991262,0.5412188,0.004520454,9.221348,31.39833,4.588205,19.49211,6,Calibration,NOC
6#58,0.3130465,0.02779746,1.540257,0.104299,9.774907,0.5443377,0.004666103,8.841101,30.98881,4.49719,19.49664,6,Calibration,NOC
6#59,0.2979874,0.02709815,1.53275,0.1027357,9.863708,0.550082,0.004064322,8.220968,29.47167,4.463672,19.50116,6,Calibration,NOC
6#60,0.4169145,0.0262359,1.568759,0.1052734,9.994306,0.5482166,0.004750144,7.85305,29.27516,4.572237,19.50251,6,Calibration,NOC
6#61,0.07991277,0.02539301,1.549842,0.1045614,9.931153,0.5451487,0.004160021,7.51216,29.1605,4.590986,19.50387,6,Calibration,NOC
6#62,-0.08317947,0.02446738,1.569422,0.1046755,9.801546,0.5450351,0.004374357,6.538857,26.55818,4.42695,19.50523,6,Calibration,NOC
6#63,0.05443148,0.02312272,1.570001,0.1023171,10.03547,0.5474174,0.004255875,4.603606,25.32687,4.536167,19.50658,6,Calibration,NOC
6#64,-0.04488671,0.02157033,1.543135,0.1038305,10.00077,0.5454254,0.003668615,3.974974,24.27619,4.61328,19.50699,6,Calibration,NOC
6#65,-0.2363269,0.02074301,1.5987,0.1036704,9.906964,0.5493163,0.004572886,4.049109,23.62897,4.618188,19.5074,6,Calibration,NOC
6#66,0.3408836,0.01949725,1.539785,0.1007676,10.08735,0.5485798,0.004679733,3.924378,23.2036,4.453577,19.50781,6,Calibration,NOC
6#67,-0.1022785,0.01728109,1.574291,0.101607,10.04481,0.5477419,0.005010933,4.209573,22.11122,4.455567,19.50821,6,Calibration,NOC
6#68,0.6841436,0.01708199,1.510151,0.1004464,9.741688,0.5479397,0.004239469,4.806697,21.73211,4.626241,19.50862,6,Calibration,NOC
6#69,0.3227185,0.01569997,1.560125,0.09993689,9.777508,0.5491219,0.004657359,4.531938,20.40123,4.500165,19.50903,6,Calibration,NOC
6#70,-0.5214812,0.01425281,1.564965,0.1012729,9.772922,0.5446797,0.004859227,4.247301,20.34165,4.588973,19.50959,6,Calibration,NOC
6#71,0.3455939,0.01268862,1.553623,0.1000757,9.720142,0.5444371,0.005133048,4.862346,20.31901,4.434248,19.51014,6,Calibration,NOC
6#72,-0.2150376,0.01130412,1.554113,0.09770842,9.973011,0.5472571,0.004650128,4.728703,19.03282,4.494018,19.5107,6,Calibration,NOC
6#73,-0.4206135,0.01209703,1.513961,0.09643319,9.835431,0.5489483,0.005001872,4.602301,18.67936,4.533569,19.51126,6,Calibration,NOC
6#74,0.2095765,0.01045022,1.497052,0.09648468,9.916967,0.5490182,0.004635165,4.35528,18.17398,4.467795,19.51182,6,Calibration,NOC
6#75,0.05031274,0.00914922,1.539206,0.09312115,9.962004,0.5431636,0.004534521,4.440202,17.82655,4.456573,19.51238,6,Calibration,NOC
6#76,-0.1145759,0.006991574,1.534816,0.09521011,9.853162,0.5448475,0.004674982,4.48615,17.42368,4.488699,19.51374,6,Calibration,NOC
6#77,-0.04800146,0.005996759,1.525709,0.09212502,9.835029,0.5460408,0.005153457,4.281168,17.23871,4.514005,19.51509,6,Calibration,NOC
6#78,0.1143013,0.003743866,1.508807,0.08697074,9.943083,0.5442568,0.004697146,4.156826,17.11776,4.535214,19.51645,6,Calibration,NOC
6#79,-4.07E-01,0.001792681,1.476964,0.08601255,9.937403,0.5428198,0.004660138,4.126503,17.15494,4.522194,19.51781,6,Calibration,NOC
6#80,0.07919054,9.91E-05,1.460108,0.0847638,9.999426,0.5472677,0.004189617,3.678408,17.21719,4.52877,19.51917,6,Calibration,NOC
6#81,3.94E-02,-0.000190587,1.526483,0.0844695,9.706692,0.5434764,0.00412422,3.438948,16.15799,4.474999,19.51952,6,Calibration,NOC
6#82,5.03E-01,-1.04E-05,1.505036,0.08325318,9.937825,0.5423458,0.005358001,2.999364,15.49378,4.435727,19.51963,6,Calibration,NOC
6#83,-0.1571974,-1.32E-05,1.503742,0.08578292,10.03784,0.5428848,0.005030192,1.40675,13.57806,4.60048,19.51974,6,Calibration,NOC
6#84,-0.1060835,-0.000570568,1.473172,0.08491816,9.979997,0.5409011,0.00451732,-3.591486,7.923962,4.561534,19.51984,6,Calibration,NOC
6#85,-0.1353719,-0.000718713,1.524561,0.08367265,9.891667,0.5455065,0.005945135,-3.536793,7.542082,4.589067,19.51995,6,Calibration,NOC
6#86,0.6166524,0.000560031,1.485898,0.08373509,10.02091,0.5444254,0.005078967,-3.650206,7.487663,4.547435,19.52013,6,Calibration,NOC
6#87,0.5254409,-0.000201057,1.482261,0.08186547,9.952912,0.5462019,0.005204222,-3.779039,7.856964,4.468217,19.52031,6,Calibration,NOC
6#88,0.2546495,-0.000494162,1.51226,0.08325209,10.05903,0.5442597,0.004619993,-3.738861,7.574479,4.56157,19.52049,6,Calibration,NOC
6#89,-0.2870138,0.000144589,1.502498,0.08052086,10.10952,0.5455877,0.004246516,-3.908777,7.842114,4.518717,19.52229,6,Calibration,NOC
6#90,-0.5033807,0.00057467,1.453831,0.08047574,9.919984,0.5406358,0.004931971,-3.658787,6.952568,4.407601,19.52409,6,Calibration,NOC
6#91,-0.08979272,0.001523438,1.456929,0.07407953,10.15959,0.54466,0.005404186,-3.930155,6.635566,4.491939,19.52589,6,Calibration,NOC
6#92,-0.2911062,0.000495644,1.413587,0.06010596,9.857426,0.5453287,0.005873479,-4.64238,6.4645,4.630138,19.53586,6,Calibration,NOC
6#93,-0.1993408,-0.000280069,1.342238,0.05045684,9.891497,0.5454363,0.004736017,-5.175321,6.399083,4.475911,19.54582,6,Calibration,NOC
6#94,3.44E-01,0.000382425,1.365097,0.04098481,10.18175,0.547778,0.005303521,-5.41838,5.744661,4.446558,19.55579,6,Calibration,NOC
6#95,5.90E-01,-3.19E-05,1.296036,0.03283491,10.16311,0.5499191,0.005871157,-6.268997,4.366123,4.549233,19.56576,6,Calibration,NOC
6#96,-0.1927495,4.20E-05,1.247046,0.02582348,10.20769,0.5484388,0.006086873,-6.859382,3.403306,4.58547,19.57573,6,Calibration,NOC
6#97,0.7221496,-0.000982265,1.185326,0.01822173,10.38962,0.5428638,0.006448724,-7.400743,2.282079,4.508363,19.59195,6,Calibration,NOC
6#98,8.70E-02,-0.00010715,1.130688,0.01168069,10.56744,0.5435646,0.006769317,-7.685762,2.250537,4.568935,19.60526,6,Calibration,NOC
6#99,-0.09080367,3.13E-05,1.079914,0.01009478,10.22345,0.5462497,0.006678999,-7.848387,1.178769,4.416961,19.61858,6,Calibration,NOC
6#100,0.4645616,0.00042515,0.9968995,0.007378671,10.71205,0.5491828,0.007149767,-7.884519,1.342343,4.556533,19.63189,6,Calibration,NOC
6#101,-0.5307472,0.000259278,0.9742789,0.006020076,10.60768,0.5489255,0.007873436,-8.12613,1.791229,4.510483,19.6452,6,Calibration,NOC
6#102,-0.06725157,0.000427036,0.8679206,0.005382425,10.60597,0.5466877,0.007784545,-7.691681,0.7288177,4.662169,19.66394,6,Calibration,NOC
6#103,-0.07963689,0.000103072,0.854001,0.006323812,10.45285,0.54651,0.007749171,-7.425117,0.7579756,4.548981,19.68269,6,Calibration,NOC
6#104,6.84E-02,-0.000100754,0.8002057,0.003268853,10.71807,0.5413549,0.007828651,-6.957536,1.003319,4.503145,19.70144,6,Calibration,NOC
6#105,-2.26E-01,-1.27E-05,0.6934222,0.002176389,10.76858,0.5491042,0.008874887,-6.564618,0.7162008,4.497066,19.72019,6,Calibration,NOC
6#106,-1.30E-01,1.64E-05,0.6506382,0.003811043,10.96214,0.5415975,0.008856224,-5.842757,0.465437,4.49365,19.73893,6,Calibration,NOC
6#107,-0.5808703,-4.02E-05,0.53707,0.003009701,10.98512,0.5392975,0.008904841,-5.311224,1.215321,4.596427,19.76994,6,Calibration,NOC
6#108,0.1459824,0.000416954,0.5400233,0.005997321,11.06846,0.5398375,0.009573362,-4.357685,0.9127429,4.528903,19.80095,6,Calibration,NOC
6#109,0.06062986,0.000606392,0.4722054,0.00558359,11.10552,0.5429969,0.01086002,-3.421027,0.3830444,4.605709,19.83197,6,Calibration,NOC
6#110,-0.4296143,-0.000460606,0.3673706,0.003321112,11.07935,0.5411189,0.01151465,-2.734439,0.49959,4.54321,19.86298,6,Calibration,NOC
6#111,0.04152246,-0.0007337,0.3105258,0.006321459,11.13633,0.5428978,0.01164432,-1.935144,1.015532,4.662378,19.89399,6,Calibration,NOC
6#112,0.6536726,0.000175583,0.2239045,0.007112969,11.40631,0.5413815,0.01364499,-0.3558661,0.06776063,4.675556,19.96874,6,Calibration,NOC
6#113,-0.3329498,0.000220933,0.1757473,0.008179885,11.1243,0.5370404,0.01504411,0.5903695,1.028793,4.604167,20.0435,6,Calibration,NOC
6#114,-0.3609338,0.000236634,0.1457041,0.007906271,10.99758,0.5364749,0.01591716,1.280137,1.960672,4.590891,20.11825,6,Calibration,NOC
6#115,0.1562382,0.000614099,0.1935616,0.009202299,11.28485,0.5387172,0.01683941,1.852988,1.109595,4.538501,20.19301,6,Calibration,NOC
6#116,-0.04872948,0.000555295,0.1294971,0.008533766,11.22087,0.5339071,0.01887048,2.356492,1.199039,4.637642,20.26776,6,Calibration,NOC
6#117,0.04400499,-0.000396323,0.1038738,0.008517699,11.25901,0.535643,0.0204577,2.538544,1.369346,4.543398,20.35803,6,Calibration,NOC
6#118,0.1923602,0.000349721,0.1138741,0.01064375,10.96002,0.5321605,0.02192463,2.848019,1.022091,4.641272,20.44829,6,Calibration,NOC
6#119,-0.4788779,-0.000644079,0.1208525,0.00933489,11.03701,0.5299528,0.02263159,2.954387,1.992954,4.647684,20.53856,6,Calibration,NOC
6#120,-0.1840596,-0.000147066,0.1259571,0.01233599,11.15746,0.5336263,0.02456541,2.94049,1.225443,4.677834,20.62882,6,Calibration,NOC
6#121,0.3309836,-0.000649252,0.1260298,0.01268722,11.07674,0.5324936,0.02638334,3.481973,2.186153,4.641661,20.71909,6,Calibration,NOC
6#122,-0.0521796,0.001280208,0.1340221,0.01658262,11.24317,0.5253015,0.03241536,4.344663,2.644207,4.481517,21.00803,6,Calibration,NOC
6#123,-0.1557945,-0.00032973,0.1089115,0.02088163,10.88457,0.5260236,0.03632556,4.692114,2.512468,4.698899,21.29697,6,Calibration,NOC
6#124,-0.665095,0.000105318,0.09819742,0.02313421,10.73432,0.5259196,0.04078129,5.153398,3.316052,4.794307,21.58591,6,Calibration,NOC
6#125,-0.06690893,0.000748074,0.08845004,0.02569823,10.85039,0.5208991,0.04616821,5.744218,3.151738,4.752077,21.87484,6,Calibration,NOC
6#126,-0.3403529,0.000229977,0.02694798,0.03373929,10.06337,0.5241201,0.05502012,7.283821,3.711255,4.99168,22.57484,6,Calibration,NOC
6#127,0.7024012,0.000289654,0.0351547,0.04321002,10.18386,0.5268923,0.06437996,8.388955,4.635244,5.167555,23.27485,6,Calibration,NOC
6#128,0.4808207,0.001222497,0.03924267,0.04902293,9.068534,0.5387425,0.07166769,9.677184,6.002318,5.343479,23.97484,6,Calibration,NOC
6#129,-0.6015859,0.000734675,0.05004079,0.0577014,8.441087,0.5449999,0.07807869,10.57618,5.960875,5.70942,24.67484,6,Calibration,NOC
6#130,0.2696291,-0.000254132,0.06931237,0.06375537,7.2491,0.56046,0.08415948,11.74141,6.982002,5.904179,25.37484,6,Calibration,NOC
6#131,-5.72E-01,0.000184438,0.04701638,0.06966034,6.454926,0.5725781,0.08853128,12.58815,8.120678,6.349959,26.07484,6,Calibration,NOC
6#132,-0.5174972,9.29E-05,0.0370001,0.07004828,6.091125,0.5759321,0.08903439,12.69781,7.214929,6.397267,26.28485,6,Calibration,NOC
6#133,-0.07311659,0.001022738,0.01231876,0.07188853,5.801247,0.5779861,0.09075557,12.90612,7.317603,6.493239,26.49484,6,Calibration,NOC
6#134,-0.1052665,-0.000105435,-0.004079132,0.07224598,5.402439,0.5827907,0.09115406,13.19419,8.036586,6.582313,26.70485,6,Calibration,NOC
6#135,-0.3967322,-0.00142331,0.01247261,0.06931353,5.120478,0.5892773,0.09161205,13.39884,7.670372,6.961262,26.91484,6,Calibration,NOC
6#136,-0.2455643,0.000452858,-0.01534474,0.07177177,4.634723,0.5957317,0.09145403,13.26813,8.060433,6.779188,27.12484,6,Calibration,NOC
6#137,-0.2497357,0.000572724,-0.04838881,0.07000898,3.319358,0.6168813,0.09148791,13.78334,8.031878,7.415386,27.82484,6,Calibration,NOC
